name
English
Danish
Mandarin Chinese
German
Afrikaans
Albaniana
Arabic
Arabic-French
Armenian
Assyrian
Azerbaijani
Basque
Belorussian
Bengali
Bulgariana
Burmese
Cantonese
Catalan
Chechen
Czech
Dutch
Estonian
Faroese
Fijian
Finnish
French
Gaeli
Georgiana
Greek
Greenlandic
Hebrew
Hindi
Hungarian
Icelandic
Irish
Italian
Japanese
Kazakh
Korean
Kurdish
Lao
Latvian
Lithuanian
Luxembourgish
Macedonian
Malay
Maltese
Maori
Mongolian
Nepali
Norwegian
Persian
Polish
Polynesian Languages
Portuguese
Punjabi
Romanian
Russian
Sardinian
Serbo-Croatian
Slovak
Somali
Spanish
Swahili
Swedish
Tagalog
Tamil
Tatar
Thai
Tibetan
Turkish
Turkmenian
Ukrainian
Urdu
Uzbek
Vietnamese
